m	n	m1	m2	m3	nodes	time	size
20	10	9.176191	1.4248284	1.6822051	78.200005	7.0000003E-4	10
20	20	2.7222497	2.0722477	2.112847	1215.0	0.0636	10
20	30	2.66	2.2394388	2.245024	630.9	0.0139	10
20	40	1.625	1.8668698	1.8716027	428.6	0.0059000007	10
20	50	1.2	1.6064793	1.6043339	161.90001	0.002	10
20	60	0.2	1.6589345	1.6583155	226.2	0.0041	10
20	70	0.3	1.4759692	1.4752733	155.6	0.0027000003	10
20	80	0.1	1.5459653	1.5451268	170.8	0.0047999998	10
20	90	0.3	1.381575	1.3829187	176.3	0.0043	10
20	100	0.3	1.1867563	1.1902417	92.9	0.0031	10
